排名,名称,类型,话数,放送时间,导演,脚本,声优,评分,评分人数,封面,详情页
14,白箱,TV,24,2014-10-09,水島努,横手美智子、吉田玲子、浦畑達彦,木村珠莉、佳村はるか、千菅春香、髙野麻美、大和田仁美、西地修哉、吉野裕行、山岡ゆり、松岡禎丞、松風雅也、茅野愛衣、中原麻衣、小林裕介、高木渉、檜山修之、斎藤寛仁、浜田賢二、沼倉愛美、松本忍、山川琴美、小柳基、高橋伸也、間島淳司、高梨謙吾、伊藤静、日野まり、こぶしのぶゆき、葉山いくみ、米澤円、小林裕介、井澤詩織、興津和幸、木村珠莉、茅野愛衣、中原麻衣、伊藤静、金元寿子、樫井笙人、福島潤、櫻井孝宏、高橋李依、高橋李依、高橋李依、高橋李依、菅原雅芳、岩田光央、伊藤静、高橋伸也、岩田光央、横尾まり、野瀬育二、小西克幸、森谷里美、青山穣、田村ゆかり、保村真、高木渉、橋本ちなみ、山岡ゆり、沼倉愛美、山岡ゆり、米澤円、飛田展男、真殿光昭、子安武人、宮田幸季、中原麻衣、伊藤静、茅野愛衣、金元寿子、伊藤静、沼倉愛美、山岡ゆり、米澤円、千菅春香、日野まり,8.7,23183,https://lain.bgm.tv/r/400/pic/cover/l/73/26/110467_Fx9tT.jpg,https://bangumi.tv/subject/110467
15,凉宫春日的消失,剧场版,1,2010-02-06,武本康弘,志茂文彦,杉田智和、茅原実里、平野綾、後藤邑子、小野大輔、桑谷夏子、松岡由貴、白石稔、松元恵、あおきさやか、柳沢栄治,8.7,24382,https://lain.bgm.tv/r/400/pic/cover/l/9b/9b/3375_33BCV.jpg,https://bangumi.tv/subject/3375
16,进击的巨人 第三季 Part.2,TV,10,2019-04-28,肥塚正史,小林靖子、瀬古浩司,梶裕貴、石川由依、井上麻里奈、神谷浩史、谷山紀章、三上枝織、下野紘、細谷佳正、朴璐美、子安武人、山下大輝、土田大、上村祐翔、小野大輔、橋詰知久、小林ゆう、杉田智和、小野賢章、渡辺明乃、松本保典、逢坂良太,8.7,23267,https://lain.bgm.tv/r/400/pic/cover/l/c2/56/263750_56TBs.jpg,https://bangumi.tv/subject/263750
17,银河英雄传说,OVA,110,1988-01-08,田中芳樹,首藤剛志、遠藤明範、花園由宇保、戸田博史、柳川茂、小西川博、田原正利,堀川りょう、富山敬、広中雅志、森功至、若本規夫、塩沢兼人、勝生真沙子、佐々木望、榊原良子、小山茉美、岡部政明、堀勝之祐、玄田哲章、野田圭一、土師孝也、納谷悟朗、小林清志、潘恵子、目黒光祐、水島裕、速水奨、堀内賢雄、小林修、安原義人、古川登志夫、井上和彦、石塚運昇、キートン山田、羽佐間道夫、政宗一成、鈴木泰明、青野武、小杉十郎太、難波圭一、銀河万丈、家弓家正、富田耕生、鈴置洋孝、塩屋浩三、神谷明、三石琴乃、仲村秀生、小室正幸、池田秀一、渡部猛、阿南健治、津嘉山正種、石丸博也、置鮎龍太郎、石田太郎、高木均、田中亮一、堀秀行、柴田秀勝、郷里大輔、中村正、阪脩、中田譲治、塩屋翼、仁内建之、村越伊知郎、佐藤正治、有本欽隆、江森浩子、二又一成、戸谷公次、寺島幹夫、緒方賢一、北島淳司、村山明、内海賢二、永井一郎、飯塚昭三、大宮悌二、井上真樹夫、松島みのり、古谷徹、小林恭治、小川真司、石森達幸、北川米彦、池田勝、大森章督、阪脩、広瀬正志、勝田久、島田彰、水鳥鉄夫、嶋俊介、曽我部和恭、秋元羊介、清川元夢、水内清光、安宅誠、菊池正美、松本保典、穂積隆信、田中康郎、大木正司、矢田耕司、八奈見乗児、榎本温子、田中信夫、佐藤正治、山口勝平、中尾隆聖、田中秀幸、徳丸完、平野文、平野正人、増岡弘、肝付兼太、丸山詠二、北村弘一、横尾まり、佐藤政道、中田和宏、宮田浩徳、納谷六朗、宮田浩徳、中江真司、天野由梨、大塚芳忠、福田信昭、山寺宏一、檜山修之、池田勝、山賀教弘、麦人、高宮俊介、嶋崎伸夫、咲野俊介、島香裕、岩田安生、半場友恵、橋本晃一、西村知道、山本百合子、掛川裕彦、鈴置洋孝、三ツ矢雄二、松尾佳子、江原正士、鈴木勝美、大木民夫、今西正男、玉川砂記子、中原茂、加藤治、日髙のり子、加藤精三、江森浩子、荒川太朗、梅津秀行、池水通洋、斉藤茂一、大友龍三郎、岸野幸正、亀山助清、佐藤佑暉、桑原たけし、大山高男、林一夫、辻村真人、山内雅人、島田敏、真地勇志、梶哲也、大友龍三郎、龍田直樹、大塚周夫、千葉繁、亀井三郎、大滝進矢、加門良、新井量大、大塚明夫、円谷文彦、名取幸政、谷口節、小野健一、菅原正志、岡和男、山下啓介、松田重治、幹本雄之、飯田道朗、長克巳、田原アルノ、福田信昭、坂東尚樹、中村秀利、富沢美智恵、河合義雄、相沢まさき、中博史、石井隆夫、長嶝高士、辻親八、山野井仁、あずさ欣平、久川綾、山野史人、伊藤健太郎、後藤敦、山口健、村田則男、上田敏也、檀臣幸、梶原善、小林隆、池本小百合、鈴木清信、光岡湧太郎、大川透、茶風林、山口晃、桜井敏治、伊藤栄次,8.7,2913,https://lain.bgm.tv/r/400/pic/cover/l/c7/55/2907_8xX82.jpg,https://bangumi.tv/subject/2907
18,千年女优,剧场版,1,2002-09-14,今敏,村井さだゆき、今敏,折笠富美子、小山茉美、荘司美代子、山寺宏一、飯塚昭三、佐藤政道、小野坂昌也,8.7,12852,https://lain.bgm.tv/r/400/pic/cover/l/fa/83/840_JRk3Z.jpg,https://bangumi.tv/subject/840
19,银魂',TV,51,2011-04-04,藤田陽一,下山健人、大和屋暁、横手美智子,杉田智和、林協忠、釘宮理恵、林凱羚、阪口大助、江志倫、高橋美佳子、ゆきのさつき、中井和哉、立木文彦、折笠富美子、菅生隆之、野中藍、玄田哲章、平田広明、白石涼子、田村ゆかり、石塚運昇、三宅健太、石田彰、鈴村健一、千葉進歩、子安武人、三木眞一郎、小林ゆう、高松信司、古谷徹、杉本ゆう、林凱羚、高橋美佳子、甲斐田裕子、太田哲治、くじら、日野聡、山崎たくみ、藤原啓治、速水奨、大塚芳忠、坂口候一、南央美、青野武、成田紗矢香、白石涼子、森川智之、茶風林、青山穣、若本規夫、平野綾、小野友樹、櫻井智、吉野裕行、白石涼子、杉田智和、坂口候一、坂口候一、渡辺明乃、黒田崇矢、龍田直樹、斎藤千和、遊佐浩二、山寺宏一、宮本茉奈、能登麻美子、吉野裕行、倉富亮、斎藤志郎、檜山修之、鈴木千尋,8.7,13661,https://lain.bgm.tv/r/400/pic/cover/l/e1/36/11834_fEZvv.jpg,https://bangumi.tv/subject/11834
20,虫师,TV,26,2005-10-22,長濵博史,桑畑絹子、山田由香、伊丹あき,中野裕斗、沢城みゆき、土井美加、うえだゆうじ、伊瀬茉莉也、三瓶由布子、岡明子、國分優香里、本城雄太郎、翠準子、小山剛志、佐藤利奈、千葉千恵巳、今井由香、前田剛、藤田大助、明坂聡美、花村怜美、陰山泰、日高奈留美、安達直人、坂口芳貞、保村真、岩男潤子、熊谷健吾、鬼頭典子、岡村明美、天野由梨、宮本侑芽、青野武、黒葛原未有、名塚佳織、川田紳司、福井裕佳梨、井上優、小林愛、黒葛原未有、京田尚子、川上とも子、下崎紘史、宮島依里、鈴木真仁、五十嵐浩子、竹本英史、安原麗子、坂本真綾、伊藤実華、浜田賢二、小清水亜美、稲村優奈、中川玲、笠原弘子、安達まり、宮本侑芽、尾小平志津香、筈見純、松山鷹志、井関佳子、関根直也、清水香里、仲尾あづさ、椙本滋、氷青、竹村叔子、玉井碧、鎗田千裕、太刀川亞希、澤田博幸、瀬尾智美、千田隼生、椙本滋、豊後敦子、杉田郁子、牧莉々香、側見民雄、田村勇馬、脇田茂、山口祥行、齋藤彩夏、堀部隆一、望木祐子、内藤玲、和田みちる、戎怜菜、山路和弘、菊池こころ、伊藤実華、石井康嗣、高柳葉子、平田由季、島ゆうこ、内藤玲、矢部雅史、矢部雅史、土井美加,8.7,11800,https://lain.bgm.tv/r/400/pic/cover/l/40/00/340_J14Mj.jpg,https://bangumi.tv/subject/340
21,攻壳机动队2 无罪,剧场版,1,2004-03-06,押井守,押井守,大塚明夫、田中敦子、大木民夫、山寺宏一、仲野裕、竹中直人、榊原良子,8.7,8212,https://lain.bgm.tv/r/400/pic/cover/l/ac/1d/238_jJONA.jpg,https://bangumi.tv/subject/238
22,新世纪福音战士,TV,26,1995-10-04,庵野秀明,庵野秀明、榎戸洋司、薩川昭夫、磯光雄、山口宏、樋口真嗣,緒方恵美、罗伟杰、刘艺、朱憶華、林原めぐみ、馮美麗、刘海霞、宮村優子、郝琳杰、徐琳、許雲雲、三石琴乃、陶敏嫻、郝琳杰、長沢美樹、山寺宏一、清川元夢、方树桥、岩永哲哉、岩男潤子、贾丽娜、優希比呂、滕奎兴、子安武人、林原めぐみ、曹玉敏、山口由里子、徐琳、石田彰、立木文彦、陳進益、関智一、林原めぐみ、大塚芳忠、麦人、土井美加、林原めぐみ、鈴木勝美、中博史、平松晶子、長嶝高士、宇垣秀成、大山豊、丸山詠二、永野広一、西村知道、山野井仁,8.7,33979,https://lain.bgm.tv/r/400/pic/cover/l/e5/69/265_Z5Uou.jpg,https://bangumi.tv/subject/265
23,水星领航员 第三季,TV,14,2008-01-08,佐藤順一,藤咲あゆな、浦畑達彦、竹下健一、布施木一喜、吉田玲子,葉月絵理乃、斎藤千和、広橋涼、大原さやか、皆川純子、川上とも子、河井英里、西村ちなみ、水橋かおり、松尾佳子、野島裕史、渡辺明乃、早水リサ、白石涼子、桑島法子、阿澄佳奈、水橋かおり、渡辺明乃、石塚運昇、清川元夢、うえだゆうじ,8.7,2901,https://lain.bgm.tv/r/400/pic/cover/l/c8/50/1270_Yo7p2.jpg,https://bangumi.tv/subject/1270
24,乒乓,TV,11,2014-04-10,湯浅政明,湯浅政明,片山福十郎、内山昂輝、文晔星、木村昴、咲野俊介、屋良有作、野沢雅子、程波、津田健次郎、星野貴紀、浜田賢二、大隈健太、小川真司、石住昭彦、島田岳洋、川澄綾子、中務貴幸、畠中祐,8.7,17365,https://lain.bgm.tv/r/400/pic/cover/l/1e/63/93739_TZ9dS.jpg,https://bangumi.tv/subject/93739
25,银魂,TV,201,2006-04-04,高松信司、藤田陽一,大和屋暁、下山健人、隅沢克之、横手美智子、高松信司、高松信司,杉田智和、矢口アサミ、林協忠、釘宮理恵、林凱羚、阪口大助、賀宇傑、高橋美佳子、ゆきのさつき、中井和哉、杉本ゆう、林凱羚、立木文彦、関山美沙紀、真殿光昭、折笠富美子、玄田哲章、城雅子、岡本麻弥、日比愛子、根本圭子、私市淳、宇垣秀成、江川央生、伊藤美紀、石塚堅、田村ゆかり、青山桐子、檜山修之、保村真、羽多野渉、石塚運昇、比嘉久美子、三宅健太、植田佳奈、三宅健太、石野竜三、うえだゆうじ、鈴木れい子、鈴村健一、千葉進歩、高松信司、石田彰、くじら、太田哲治、子安武人、小林ゆう、藤原啓治、高橋美佳子、三木眞一郎、甲斐田裕子、日野聡、若本規夫、山崎たくみ、青山穣、早水リサ、龍田直樹、坂口候一、青野武、黒田崇矢、南央美、速水奨、茶風林、平野俊隆、成田紗矢香、豊口めぐみ、櫻井智、銀河万丈、三瓶由布子、大塚芳忠、小野友樹、神谷浩史、緑川光、大原桃子、山口享佑子、成田剣、川澄綾子、宮本真利、石川和之、遊佐浩二、浜田賢二、園部好徳、緑川光、久保さゆり、高木渉、深見梨加、田中一成、川津泰彦、堀井真吾、菅原正志、斎藤千和、渡辺明乃、石田彰、喜山茂雄、飯田利信、立木文彦、後藤邑子、利根健太朗、堀内賢雄、巴菁子、杉崎亮、坂口候一、川原慶久、宮澤正、小林沙苗、岡崎雅紘、杉田智和、ゆかな、鍋井まき子、三宅健太、富田耕生、緒方賢一、宇垣秀成、成田紗矢香、森夏姫、喜山茂雄、川島得愛、坂口候一、千葉進歩、中井和哉、杉田智和、ゆきのさつき、吉野裕行、坂口候一、杉田智和、喜山茂雄、坂口候一、石田彰、杉田智和、梁田清之、長嶝高士、松本大、勝杏里、中田譲治、橘U子、屋良有作、勝生真沙子、中村秀利、梅津秀行、山寺宏一、足立友、能登麻美子、坂口候一、ふくまつ進紗、福原耕平、チョー、下山吉光、久嶋志帆、坂口候一、川野剛稔、檜山修之、鈴木千尋、島本須美、近藤浩徳、青山穣、田中総一郎、下山吉光、中嶋佳葉、立木文彦、来宮良子、景浦大輔、大森章督、河内孝博,8.7,13799,https://lain.bgm.tv/r/400/pic/cover/l/3c/ec/247_MnPPU.jpg,https://bangumi.tv/subject/247
26,哆啦A梦 大山版,TV,1787,1979-04-02,もとひら了、芝山努,池田眞美子、岡部優子、桶谷顕、加藤公平、川崎良、川辺美奈子、岸間信明、楠部工、小松崎康弘、酒井直行、佐藤勝一、志茂文彦、城山昇、杉原めぐみ、園田英樹、田村安彦、辻真先、富永淳一、中弘子、藤子不二雄、藤本信行、松岡清治、松下幹夫、水出弘一、もとひら了、矢島大輔、山田隆司、山崎晴哉、雪室俊一、吉田喜昭、芝山努、神戸一彦、藤子・F・不二雄,大山のぶ代、林保全、孫若瑜、林芳雪、邱佩轝、呂佩玉、陳美貞、李明幸、小原乃梨子、錢欣郁、馮友薇、楊凱凱、陳美貞、姚敏敏、汪世瑋、靳東美、野村道子、敖冰欣、許淑嬪、丘梅君、錢欣郁、たてかべ和也、楊少文、胡大衛、符爽、于正昇、于正昌、肝付兼太、于正昇、符爽、于正昌、官志宏、劉傑、よこざわけい子、納谷六朗、青木和代、横尾まり、鳳芳野、兼本新吾、野本礼三、渡部猛、銀河万丈,8.7,3288,https://lain.bgm.tv/r/400/pic/cover/l/64/b3/37460_gtg0V.jpg,https://bangumi.tv/subject/37460
27,莉兹与青鸟,剧场版,1,2018-04-21,山田尚子,吉田玲子,種﨑敦美、東山奈央、本田望結、本田望結、藤村鼓乃美、山岡ゆり、中村悠一、桑島法子、杉浦しおり、黒沢ともよ、朝井彩加、豊田萌絵、安済知佳、櫻井孝宏、大地葉、渡部紗弓、小岩井ことり、島袋美由利、高橋花林、前田玲奈、久野美咲、七瀬彩夏,8.6,20208,https://lain.bgm.tv/r/400/pic/cover/l/1d/35/216371_5926R.jpg,https://bangumi.tv/subject/216371
28,千与千寻,剧场版,1,2001-07-20,宮崎駿,宮崎駿,柊瑠美、許淑嬪、周冬雨、入野自由、陳安瑩、汪世瑋、井柏然、玉井夕海、乔诗语、劉小芸、夏木マリ、王琳、陳季霞、夏木マリ、陳季霞、王琳、神木隆之介、陳若甄、菅原文太、沈光平、田壮壮、中村彰男、彭昱畅、大泉洋、吳文民、沢口靖子、崔幗夫、季冠霖、内藤剛志、盧雄、曹冀魯、汤水雨,8.6,27265,https://lain.bgm.tv/r/400/pic/cover/l/9d/fc/311_GAg3x.jpg,https://bangumi.tv/subject/311
29,机动战士高达0080 口袋里的战争,OVA,6,1989-03-25,高山文彦,山賀博之,浪川大輔、辻谷耕史、林原めぐみ、稲葉実、折笠愛、筈見純、榊原良子、秋元羊介、島香裕、島田敏、星野充昭、平野正人、丸尾知子、吉田小南美、増岡弘、古田信幸、戸谷公次,8.6,5965,https://lain.bgm.tv/r/400/pic/cover/l/29/89/1015_Z2xoh.jpg,https://bangumi.tv/subject/1015
30,灌篮高手,TV,101,1993-10-16,井上雄彦,菅良幸、岸間信明,草尾毅、于正昇、緑川光、塩屋翼、置鮎龍太郎、梁田清之、緒方恵美、西村知道、平松晶子、田中秀幸、森川智之、于正昇、大塚芳忠、岸野幸正、辻谷耕史、風間信彦、江川央生、森川智之、神奈延年、原えりこ、華姍、幹本雄之、塩屋浩三、神奈延年、小野坂昌也、于正昇、大塚芳忠、小野坂昌也、石川英郎、石塚運昇、里内信夫、佐藤正治、幹本雄之、塩屋浩三、神奈延年、里内信夫、永島由子、梅津秀行,8.6,9371,https://lain.bgm.tv/r/400/pic/cover/l/fa/af/1608_3I59P.jpg,https://bangumi.tv/subject/1608
31,明日之丈2,TV,47,1980-10-13,出﨑統,出﨑統、大和屋竺、高屋敷英夫、山崎晴哉、篠崎好,あおい輝彦、田中エミ、藤岡重慶、だるま 二郎、千葉繁、納谷六朗、中尾隆聖、小宮和枝、若本規夫、田口昻、宮村義人、白石冬美、渡部猛、丸山裕子、鈴木清信、つかせのりこ、堀絢子、仲村秀生,8.7,897,https://lain.bgm.tv/r/400/pic/cover/l/e5/34/67753_OYWBt.jpg,https://bangumi.tv/subject/67753
32,大闹天宫,剧场版,1,1961-12,万籁鸣,李克弱、万籁鸣,邱岳峰、于鼎、毕克、富润生、尚华、于鼎,8.6,5726,https://lain.bgm.tv/r/400/pic/cover/l/95/f6/1962_qPd3y.jpg,https://bangumi.tv/subject/1962
33,四叠半神话大系,TV,11,2010-04-22,湯浅政明,上田誠、湯浅政明,浅沼晋太郎、吉野裕行、坂本真綾、藤原啓治、甲斐田裕子、諏訪部順一、佐藤せつじ、浅沼晋太郎、能登麻美子、檜山修之、宮澤正、吉野裕行,8.6,15385,https://lain.bgm.tv/r/400/pic/cover/l/7f/c6/4019_f34f4.jpg,https://bangumi.tv/subject/4019
34,魔法少女小圆,TV,12,2011-01-06,新房昭之,虚淵玄,悠木碧、斎藤千和、喜多村英梨、水橋かおり、野中藍、加藤英美里、吉田聖子、新谷良子、後藤邑子、岩永哲哉、水橋かおり、岩男潤子、松岡禎丞、水橋かおり、田坂秀樹、飛田展男、三木眞一郎、松嵜麗、大久保瑠美、佐倉綾音,8.6,38392,https://lain.bgm.tv/r/400/pic/cover/l/cb/57/9717_sAVag.jpg,https://bangumi.tv/subject/9717
35,剧场版 魔法少女小圆 [新篇] 叛逆的物语,剧场版,1,2013-10-26,宮本幸裕,虚淵玄,悠木碧、斎藤千和、喜多村英梨、水橋かおり、野中藍、加藤英美里、阿澄佳奈、後藤邑子、岩永哲哉、水橋かおり、吉田聖子、新谷良子、岩男潤子、松岡禎丞、上田麗奈、赤﨑千夏、五十嵐裕美、阿座上洋平、河西健吾、木島隆一、前田邦宏,8.6,17720,https://lain.bgm.tv/r/400/pic/cover/l/31/1c/44693_YS9kU.jpg,https://bangumi.tv/subject/44693
36,虫师 续章 第2部分,TV,10,2014-10-18,長濵博史,長濵博史,中野裕斗、沢城みゆき、折笠富美子、土井美加,8.6,4362,https://lain.bgm.tv/r/400/pic/cover/l/9c/c7/106207_z8288.jpg,https://bangumi.tv/subject/106207
37,航海王：粉丝来信,TV,1,2024-10-20,䂖谷恵,豊田百香,菊池こころ、加瀬康之、高橋広樹、斉藤次郎、小松由佳、かかずゆみ、小林ゆう、高戸靖広、竹内良太、桐本拓哉、稲田徹、菊池正美、高塚正也、中村光樹、蟹江俊介、山田京奈、宮園拓夢、七蒼花梨、浅野良介、吉水孝宏、西原久美子、檜山修之、平井啓二、広橋涼、田中真弓、岡村明美、中井和哉、山口勝平、平田広明、大谷育江、山口由里子、矢尾一樹、チョー、宝亀克寿、大塚周夫、大場真人,8.6,4236,https://lain.bgm.tv/r/400/pic/cover/l/be/42/518519_DMDo8.jpg,https://bangumi.tv/subject/518519
38,天元突破 红莲螺岩,TV,27,2007-04-01,今石洋之,中島かずき、山口宏、佐伯昭志、大塚雅彦、砂山蔵澄,菅生隆之、柿原徹也、小西克幸、井上麻里奈、福井裕佳梨、伊藤静、小野坂昌也、檜山修之、中村大樹、谷山紀章、佐藤利奈、植田佳奈、阿澄佳奈、中田譲治、斎賀みつき、本田貴子、伊藤静、檜山修之、小西克幸、本田貴子、川上貴史、近藤隆、桐井大介、四宮豪、堂坂晃三、水島大宙、四宮豪、桐井大介、梁田清之、根谷美智子、陶山章央、川久保潔、池田成志、水島大宙、七緒はるひ、上川隆也、伊藤静,8.5,16484,https://lain.bgm.tv/r/400/pic/cover/l/4e/a0/770_EvrMq.jpg,https://bangumi.tv/subject/770
